eval_filename,train_filename,cosine_sim,matched
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_148161.jpeg,S_20130822_1005_04_067_13.jpg,0.7669558525085449,mismatch
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_90712.jpeg,S_20130811_0925_03_027_02.jpg,0.8919844627380371,mismatch
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_99202.jpeg,S_20130630_0813_04_008_05.jpg,0.7987274527549744,mismatch
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_136359.jpeg,S_20130915_1029_01_007_00.jpg,0.919360876083374,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_48318.jpeg,S_20130602_0716_07_038_04.jpg,0.8914979696273804,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_50681.jpeg,S_20140123_1506_02_048_18.jpg,0.8189224004745483,mismatch
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_105878.jpeg,S_20130808_0922_05_015_31.jpg,0.8374466300010681,mismatch
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_102617.jpeg,S_20130717_0900_02_024_08.jpg,0.8971030712127686,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_52447.jpeg,S_20131003_1116_04_003_03.jpg,0.8301565647125244,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_90277.jpeg,S_20130811_0925_03_040_00.jpg,0.874261736869812,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_48279.jpeg,S_20130803_0917_03_001_04.jpg,0.701915442943573,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_109008.jpeg,S_20130811_0925_03_043_03.jpg,0.9181078672409058,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_84926.jpeg,S_20130714_0827_07_082_18.jpg,0.9801392555236816,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_102611.jpeg,S_20130717_0900_02_024_08.jpg,0.8631946444511414,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_105877.jpeg,S_20130720_0903_04_019_27.jpg,0.7670490741729736,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_98986.jpeg,S_20130519_0702_01_034_00.jpg,0.8214719295501709,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_130803.jpeg,S_20130824_1007_01_182_06.jpg,0.7478358745574951,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_108602.jpeg,S_20130811_0925_03_025_04.jpg,0.8334712386131287,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_37484.jpeg,S_20130519_0702_01_051_25.jpg,0.934471070766449,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_52708.jpeg,S_20130608_0722_02_003_17.jpg,0.9997764825820923,match
/misc/vlgscratch4/LakeGroup/shared_data/S_multimodal/eval/test/ball/img_132087.jpeg,S_20130811_0925_03_025_22.jpg,0.8270220756530762,match
